Date,total_lmp,node_name
7/2/2022 4:00:00 PM,99.40308,NEW JERSEY HUB
7/2/2022 4:00:00 PM,125.33406,OHIO HUB
7/2/2022 4:00:00 PM,129.45832,WEST INT HUB
7/2/2022 4:00:00 PM,135.64060,WESTERN HUB
7/2/2022 5:00:00 PM,124.38736,AEP GEN HUB
7/2/2022 5:00:00 PM,127.58919,AEP-DAYTON HUB
7/2/2022 5:00:00 PM,125.29250,ATSI GEN HUB
7/2/2022 5:00:00 PM,122.77838,CHICAGO GEN HUB
7/2/2022 5:00:00 PM,124.79340,CHICAGO HUB
7/2/2022 5:00:00 PM,133.90036,DOMINION HUB
7/2/2022 5:00:00 PM,127.45755,EASTERN HUB
7/2/2022 5:00:00 PM,123.87345,N ILLINOIS HUB
7/2/2022 5:00:00 PM,101.86497,NEW JERSEY HUB
7/2/2022 5:00:00 PM,127.54242,OHIO HUB
7/2/2022 5:00:00 PM,130.84110,WEST INT HUB
7/2/2022 5:00:00 PM,136.62727,WESTERN HUB
7/2/2022 6:00:00 PM,104.56000,AEP GEN HUB
7/2/2022 6:00:00 PM,107.32269,AEP-DAYTON HUB
7/2/2022 6:00:00 PM,103.91568,ATSI GEN HUB
7/2/2022 6:00:00 PM,103.30453,CHICAGO GEN HUB
7/2/2022 6:00:00 PM,105.02293,CHICAGO HUB
7/2/2022 6:00:00 PM,114.41877,DOMINION HUB
7/2/2022 6:00:00 PM,105.68720,EASTERN HUB
7/2/2022 6:00:00 PM,104.23753,N ILLINOIS HUB
7/2/2022 6:00:00 PM,79.07957,NEW JERSEY HUB
7/2/2022 6:00:00 PM,107.45838,OHIO HUB
7/2/2022 6:00:00 PM,108.74055,WEST INT HUB
7/2/2022 6:00:00 PM,113.37144,WESTERN HUB
7/2/2022 7:00:00 PM,92.74868,AEP GEN HUB
7/2/2022 7:00:00 PM,95.55573,AEP-DAYTON HUB
7/2/2022 7:00:00 PM,90.47659,ATSI GEN HUB
7/2/2022 7:00:00 PM,92.35861,CHICAGO GEN HUB
7/2/2022 7:00:00 PM,93.76882,CHICAGO HUB
7/2/2022 7:00:00 PM,100.55817,DOMINION HUB
7/2/2022 7:00:00 PM,96.24080,EASTERN HUB
7/2/2022 7:00:00 PM,93.09667,N ILLINOIS HUB
7/2/2022 7:00:00 PM,70.58246,NEW JERSEY HUB
7/2/2022 7:00:00 PM,95.92798,OHIO HUB
7/2/2022 7:00:00 PM,94.56555,WEST INT HUB
